feature,observed_coef,null_mean,null_std,empirical_p_two_sided,n_iter
temp,21.742904601175333,-0.14199799833619875,67.88726201471928,0.7525,2000
rain,418.85125383805405,-39.629235074378826,2118.4437900705157,0.824,2000
