feature,coef,ci_low_2_5,ci_high_97_5
intercept,1655.2445535617246,-11311.07943669258,10347.65086465342
temp,21.742904601175333,-104.45488486610525,211.90239574235162
rain,418.85125383805405,-1088.7504174773649,41438.12414569728
weekday_Monday,-1232.267989562972,-2419.8284306443065,54.530130590333556
weekday_Saturday,676.837248934087,-565.6079659506765,1628.8612566967463
weekday_Sunday,251.098016610411,-979.4679102672561,1293.5373187747484
weekday_Thursday,-1301.204243174883,-2283.474679485056,-487.5916404558253
weekday_Tuesday,-1379.0463498873294,-2993.7886432848068,-98.57940118386009
weekday_Wednesday,-1279.4371618404696,-2283.2492836667407,-173.81472937541676
