feature,coef,ci_low_2_5,ci_high_97_5
intercept,-575.5502012161704,-15568.664634536344,11507.888585028199
temp,51.914253133627625,-119.0317872978396,274.23465279243834
rain,301.66251099795613,-1171.4684886214566,42819.99528827225
weekday_Monday,-1165.2670720452118,-2732.6096710421803,315.8851544045834
weekday_Saturday,972.8818076854002,-685.3775406004419,1878.4089302327434
weekday_Sunday,540.3209311042799,-1197.6779489301243,1423.7010323542609
weekday_Thursday,-1067.2840062739706,-2610.3056814084557,-382.9353693534888
weekday_Tuesday,-1036.9768084910138,-3122.6957770003796,-32.953020024113755
weekday_Wednesday,-998.5110036270311,-2467.4568477747375,0.0
